排名,队名,胜,负,胜率,胜场差,主场,客场,赛区,东部,得分,失分,净胜,连胜/负,所属联盟
1,凯尔特人,64,18,78.0%,0.0,37-4,27-14,15-2,41-11,120.6,109.2,11.3,2连胜,东部赛区
2,尼克斯,50,32,61.0%,14.0,27-14,23-18,12-5,35-17,112.8,108.2,4.6,5连胜,东部赛区
3,雄鹿,49,33,59.8%,15.0,31-11,18-22,10-7,34-18,119.0,116.4,2.6,2连败,东部赛区
4,骑士,48,34,58.5%,16.0,26-15,22-19,11-5,31-21,112.6,110.2,2.4,1连败,东部赛区
5,魔术,47,35,57.3%,17.0,29-12,18-23,9-7,32-20,110.5,108.4,2.0,1连胜,东部赛区
6,步行者,47,35,57.3%,17.0,26-15,21-20,11-6,32-20,123.3,120.2,3.1,1连胜,东部赛区
7,76人,47,35,57.3%,17.0,25-16,22-19,8-8,31-21,114.6,111.6,3.0,8连胜,东部赛区
8,热火,46,36,56.1%,18.0,22-19,24-17,13-3,32-20,110.2,108.4,1.8,2连胜,东部赛区
9,公牛,39,43,47.6%,25.0,20-21,19-22,7-9,22-29,112.3,113.7,-1.4,1连败,东部赛区
10,老鹰,36,46,43.9%,28.0,21-20,15-26,8-8,22-30,118.3,120.5,-2.2,6连败,东部赛区
11,篮网,32,50,39.0%,32.0,20-21,12-29,5-11,24-28,110.4,113.3,-2.9,2连败,东部赛区
12,猛龙,25,57,30.5%,39.0,14-27,11-30,1-15,18-34,112.4,118.8,-6.4,4连败,东部赛区
13,黄蜂,21,61,25.6%,43.0,11-30,10-31,6-10,14-38,106.6,116.8,-10.2,1连胜,东部赛区
14,奇才,15,67,18.3%,49.0,7-34,8-33,4-12,11-41,113.7,123.0,-9.3,6连败,东部赛区
15,活塞,14,68,17.1%,50.0,7-33,7-35,2-14,10-41,109.9,119.0,-9.1,1连败,东部赛区
1,雷霆,57,25,69.5%,0.0,33-8,24-17,12-4,36-16,120.1,112.7,7.4,5连胜,西部赛区
2,掘金,57,25,69.5%,0.0,33-8,24-17,10-6,33-19,114.9,109.6,5.2,1连胜,西部赛区
3,森林狼,56,26,68.3%,1.0,30-11,26-15,12-4,37-15,113.0,106.5,6.5,1连败,西部赛区
4,快船,51,31,62.2%,6.0,25-16,26-15,9-7,30-22,115.6,112.3,3.3,3连败,西部赛区
5,独行侠,50,32,61.0%,7.0,25-16,25-16,11-5,31-21,117.9,115.7,2.2,2连败,西部赛区
6,太阳,49,33,59.8%,8.0,25-16,24-17,9-9,29-23,116.2,113.2,3.1,3连胜,西部赛区
7,鹈鹕,49,33,59.8%,8.0,21-19,28-14,9-7,30-22,115.1,110.7,4.4,1连败,西部赛区
8,湖人,47,35,57.3%,10.0,28-14,19-21,7-10,27-25,118.0,117.4,0.6,2连胜,西部赛区
9,国王,46,36,56.1%,11.0,24-17,22-19,10-7,30-22,116.6,114.8,1.7,1连胜,西部赛区
10,勇士,46,36,56.1%,11.0,21-20,25-16,7-9,26-26,117.8,115.2,2.6,1连胜,西部赛区
11,火箭,41,41,50.0%,16.0,27-14,14-27,9-7,28-24,114.3,113.2,1.1,2连胜,西部赛区
12,爵士,31,51,37.8%,26.0,21-20,10-31,5-11,16-36,115.7,120.6,-4.9,1连败,西部赛区
13,灰熊,27,55,32.9%,30.0,9-32,18-23,8-8,14-37,105.8,112.8,-7.0,5连败,西部赛区
14,马刺,22,60,26.8%,35.0,12-29,10-31,3-13,14-37,112.1,118.6,-6.5,2连胜,西部赛区
15,开拓者,21,61,25.6%,36.0,11-30,10-31,1-15,8-44,106.4,115.4,-9.0,5连败,西部赛区
